0,0.00E+00,2.03E+19,5.44E+18,1.25E-03,1.36E+14,2.42E+17,0.00E+00,0.00E+00
1,0.00E+00,1.82E+19,4.88E+18,1.12E-03,1.22E+14,2.17E+17,0.00E+00,0.00E+00
2,0.00E+00,1.64E+19,4.40E+18,1.01E-03,1.10E+14,1.96E+17,0.00E+00,0.00E+00
3,0.00E+00,1.48E+19,3.97E+18,9.11E-04,9.94E+13,1.77E+17,0.00E+00,0.00E+00
4,0.00E+00,1.34E+19,3.59E+18,8.24E-04,8.99E+13,1.60E+17,0.00E+00,0.00E+00
5,0.00E+00,1.21E+19,3.24E+18,7.44E-04,8.11E+13,1.45E+17,0.00E+00,0.00E+00
6,0.00E+00,1.09E+19,2.92E+18,6.70E-04,7.30E+13,1.30E+17,0.00E+00,0.00E+00
7,0.00E+00,9.75E+18,2.62E+18,6.00E-04,6.55E+13,1.17E+17,0.00E+00,0.00E+00
8,0.00E+00,8.69E+18,2.33E+18,5.35E-04,5.83E+13,1.04E+17,0.00E+00,0.00E+00
9,0.00E+00,7.70E+18,2.07E+18,4.74E-04,5.17E+13,9.21E+16,0.00E+00,0.00E+00
10,0.00E+00,6.77E+18,1.82E+18,4.17E-04,4.55E+13,8.10E+16,0.00E+00,0.00E+00
11,0.00E+00,5.92E+18,1.59E+18,3.64E-04,3.97E+13,7.08E+16,0.00E+00,0.00E+00
12,0.00E+00,5.14E+18,1.38E+18,3.16E-04,3.45E+13,6.15E+16,0.00E+00,0.00E+00
13,0.00E+00,4.45E+18,1.19E+18,2.74E-04,2.98E+13,5.32E+16,0.00E+00,0.00E+00
14,0.00E+00,3.83E+18,1.03E+18,2.36E-04,2.57E+13,4.58E+16,0.00E+00,0.00E+00
15,0.00E+00,3.29E+18,8.82E+17,2.02E-04,2.21E+13,3.93E+16,0.00E+00,0.00E+00
16,0.00E+00,2.82E+18,7.55E+17,1.73E-04,1.89E+13,3.37E+16,0.00E+00,0.00E+00
17,0.00E+00,2.41E+18,6.46E+17,1.48E-04,1.62E+13,2.88E+16,0.00E+00,0.00E+00
